ParkName,Park Code,Total Activities Count,,,,,,,,,,,
Acadia National Park,acad,24,,,,,,,,,,,
Arches National Park,arch,11,Arts and Culture,Astronomy,Biking,Camping,Canyoneering,Climbing,Guided Tours,Hiking,Horse Trekking,Junior Ranger Program,Shopping
Badlands National Park,badl,,,,,,,,,,,,
Big Bend National Park,bibe,,,,,,,,,,,,
Biscayne National Park,bisc,,,,,,,,,,,,
Black Canyon of the Gunnison National Park,blca,,,,,,,,,,,,
Bryce Canyon National Park,brca,,,,,,,,,,,,
Canyonlands National Park,cany,,,,,,,,,,,,
Capitol Reef National Park,care,18,,,,,,,,,,,
Carlsbad Caverns National Park,cave,,,,,,,,,,,,
Channel Islands National Park,chis,,,,,,,,,,,,
Congaree National Park,cong,,,,,,,,,,,,
Crater Lake National Park,crla,,,,,,,,,,,,
Cuyahoga Valley National Park,cuva,15,,,,,,,,,,,
Death Valley National Park,deva,,,,,,,,,,,,
Denali & PRES National Park,dena,,,,,,,,,,,,
Dry Tortugas National Park,drto,,,,,,,,,,,,
Everglades National Park,,,,,,,,,,,,,
Gates of the Arctic & PRES National Park,,,,,,,,,,,,,
Gateway Arch National Park,,,,,,,,,,,,,
Glacier Bay & PRES National Park,,,,,,,,,,,,,
Glacier National Park,glac,21,,,,,,,,,,,
Grand Canyon National Park,grca,19,,,,,,,,,,,
Grand Teton National Park,grte,21,,,,,,,,,,,
Great Basin National Park,,,,,,,,,,,,,
Great Sand Dunes & PRES National Park,,,,,,,,,,,,,
Great Smoky Mountains National Park,grsm,16,,,,,,,,,,,
Guadalupe Mountains National Park,,,,,,,,,,,,,
Haleakala National Park,,,,,,,,,,,,,
Hawaii Volcanoes National Park,havo,10,,,,,,,,,,,
Hot Springs National Park,,,,,,,,,,,,,
Indiana Dunes National Park,indu,21,,,,,,,,,,,
Isle Royale National Park,isro,16,,,,,,,,,,,
Joshua Tree National Park,,,,,,,,,,,,,
Katmai & PRES National Park,,,,,,,,,,,,,
Kenai Fjords National Park,,,,,,,,,,,,,
Kings Canyon National Park,,,,,,,,,,,,,
Kobuk Valley National Park,,,,,,,,,,,,,
Lake Clark & PRES National Park,,,,,,,,,,,,,
Lassen Volcanic National Park,,,,,,,,,,,,,
Mammoth Cave National Park,,,,,,,,,,,,,
Mesa Verde National Park,,,,,,,,,,,,,
Mount Rainier National Park,,,,,,,,,,,,,
American Samoa National Park,,,,,,,,,,,,,
New River Gorge & PRES National Park,,,,,,,,,,,,,
North Cascades National Park,,,,,,,,,,,,,
Olympic National Park,,,,,,,,,,,,,
Petrified Forest National Park,pefo,16,,,,,,,,,,,
Pinnacles National Park,,,,,,,,,,,,,
Redwood National Park,,,,,,,,,,,,,
Rocky Mountain National Park,,,,,,,,,,,,,
Saguaro National Park,sagu,9,,,,,,,,,,,
Sequoia National Park,,,,,,,,,,,,,
Shenandoah National Park,,,,,,,,,,,,,
Theodore Roosevelt National Park,,,,,,,,,,,,,
Virgin Islands National Park,viis,14,,,,,,,,,,,
Voyageurs National Park,voya,22,,,,,,,,,,,
White Sands National Park,,,,,,,,,,,,,
Wind Cave National Park,,,,,,,,,,,,,
Wrangell-St. Elias & PRES National Park,,,,,,,,,,,,,
Yellowstone National Park,yell,23,,,,,,,,,,,
Yosemite National Park,yose,26,,,,,,,,,,,
Zion National Park,zion,13,,,,,,,,,,,